Timestamp,Major,Home institution,Degree level,Gender,Gender bias is defined as unfair difference in the way women and men are treated. Do you believe that gender bias exists in USG classrooms?,Age,What is your race/ethnicity?,"On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [Instructors give feedback differently to classmates based on their gender]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [Instructors use examples of one sex more often than the other during lectures]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [Instructors of the opposite sex care about my opinions as much as instructor’s of the same sex]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [Instructors have the same expectations for all of their students, no matter the gender]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [Instructors have a shorter wait time for student answers’ based on their gender]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [My professors use examples of a particular sex more during lectures]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [My classmates of the opposite sex are more likely to interrupt interactions]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [Classmates respect their professors if they are of the same sex]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [Classmates of the opposite sex are more likely to interrupt classroom interactions]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [My classmates are accepting of my answers whenever they ask me a question if I am of the same sex]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [My professors have the same expectations for all their students]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [My classmates of the opposite sex have confidence in my knowledge]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [My classmates share information with me if I am of a particular sex]",GPA,"On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [Classmates of the opposite sex have confidence in my knowledge]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [Classmates share information with me based on my gender]","On a scale from 1 to 5 (1 being never and 5 being always), how often have you experience the following scenarios in your classrooms? [Classmates that I interact with most are of the same gender]","On a scale from 1-5 (1 being never and 5 being Always), what are your thoughts on overall behaviors in the classroom? (Select N/A if it does not apply to you). [My classmates of the opposite sex are more likely to interrupt interactions]","What do you believe is gender bias? (Check all that apply, even other) [Treated ]","What do you believe is gender bias? (Check all that apply, even other) [Given respons]","On a scale of  (Check all that apply, even other) [Other]"
11/20/2018 9:54:10,Information Science,"University of Maryland, College Park",Undergraduate,Female,Yes,22,Black/African,5 - Always,5 - Always,4 - Often,5 - Always,5 - Always,,,5  - Always,5  - Always,,,,,3.45,2 - Rarely,2 - Rarely,5  - Always,,,,
11/27/2018 11:21:42,Nursing,"University of Maryland, Baltimore",Undergraduate,Female,No,20,Mixed,1 - Never,4 - Often,1 - Never,5 - Always,1 - Never,,,0 - N/A,3 - Sometimes,,,,,4,4 - Often,1 - Never,4 - Often,,,,
11/27/2018 11:24:07,Communications,"University of Maryland, College Park",Undergraduate,Female,Yes,21,Asian,3 - Sometimes,2 - Rarely,3 - Sometimes,3 - Sometimes,2 - Rarely,,,2 - Rarely,3 - Sometimes,,,,,3.6,3 - Sometimes,3 - Sometimes,3 - Sometimes,,,,
11/27/2018 11:29:53,Management,"University of Maryland, College Park",Undergraduate,Female,Yes,22,Hispanic/Latinx,2 - Rarely,3 - Sometimes,5 - Always,5 - Always,0 - N/A,,,5  - Always,4 - Often,,,,,3.49,3 - Sometimes,4 - Often,4 - Often,,,,
11/27/2018 11:30:37,Management,"University of Maryland, College Park",Undergraduate,Female,No,24,Caucasian,1 - Never,1 - Never,5 - Always,5 - Always,1 - Never,,,0 - N/A,0 - N/A,,,,,3.14,5  - Always,0 - N/A,4 - Often,,,,
11/27/2018 11:31:55,Information Science,"University of Maryland, College Park",Undergraduate,Male,No,22,Black/African,5 - Always,4 - Often,5 - Always,4 - Often,5 - Always,,,5  - Always,5  - Always,,,,,3,4 - Often,5  - Always,4 - Often,,,,
11/27/2018 11:38:50,Political Science ,"University of Maryland, Baltimore",Undergraduate,Male,No,23,Black/African,3 - Sometimes,2 - Rarely,2 - Rarely,5 - Always,1 - Never,,,3 - Sometimes,2 - Rarely,,,,,2.85,0 - N/A,4 - Often,4 - Often,,,,
11/27/2018 11:39:13,Political Science ,"University of Maryland, Baltimore County",Undergraduate,Male,No,26,Black/African,1 - Never,3 - Sometimes,5 - Always,1 - Never,1 - Never,,,4 - Often,3 - Sometimes,,,,,3.8,3 - Sometimes,3 - Sometimes,3 - Sometimes,,,,
11/27/2018 11:44:51,Double Major,"University of Maryland, Baltimore County",Undergraduate,Male,Yes,23,Black/African,1 - Never,4 - Often,3 - Sometimes,5 - Always,1 - Never,,,5  - Always,1 - Never,,,,,3.5,4 - Often,1 - Never,3 - Sometimes,,,,
11/27/2018 11:48:58,Accounting,"University of Maryland, College Park",Undergraduate,Female,Depend on the professor,22,Hispanic/Latinx,4 - Often,3 - Sometimes,2 - Rarely,3 - Sometimes,3 - Sometimes,,,3 - Sometimes,3 - Sometimes,,,,,3.25,2 - Rarely,4 - Often,5  - Always,,,,
